ligand_pose	gauss1	gauss2	repulsion	hydrophobic	non_dir_h_bond	num_tors_div
ligand_pose_265	-1.1501	-3.6933	2.9547	-0.4719	-0.0	0.0
ligand_pose_266	-1.346	-3.7301	3.2914	-0.521	-0.0	0.0
ligand_pose_267	-1.9972	-3.9119	2.6595	-0.7395	-0.1519	0.0
ligand_pose_268	-1.9789	-3.8965	3.1386	-0.8118	-0.0	0.0
ligand_pose_269	-1.7753	-3.8756	1.3824	-0.8118	-0.0	0.0
ligand_pose_270	-1.6903	-3.8505	2.0858	-0.8157	-0.0	0.0
ligand_pose_271	-1.8059	-3.8595	1.7753	-0.7358	-0.1258	0.0
ligand_pose_272	-1.8737	-3.8695	3.0609	-0.7103	-0.0	0.0
ligand_pose_273	-1.7296	-3.8582	3.1873	-0.7363	-0.0	0.0
ligand_pose_274	-1.7093	-3.8841	4.6471	-0.7014	-0.0	0.0
ligand_pose_275	-1.544	-3.9923	7.9762	-0.7197	-0.5874	0.0
ligand_pose_276	-1.6308	-3.9319	2.9611	-0.6987	-0.4545	0.0
ligand_pose_277	-1.7077	-3.8277	1.5523	-0.6441	-0.1057	0.0
ligand_pose_278	-1.6267	-3.6991	3.4961	-0.5786	-0.0169	0.0
ligand_pose_279	-1.566	-4.0066	7.024	-0.7118	-0.3056	0.0
ligand_pose_280	-1.4824	-3.9185	2.7402	-0.7356	-0.0	0.0
ligand_pose_281	-1.5824	-3.809	1.1572	-0.68	-0.0	0.0
ligand_pose_282	-1.622	-3.7299	2.3538	-0.5925	-0.0	0.0
ligand_pose_283	-1.5458	-3.8835	4.1132	-0.6956	-0.0	0.0
ligand_pose_284	-1.5859	-3.8049	2.2881	-0.6719	-0.0	0.0
ligand_pose_285	-1.691	-3.7223	2.4939	-0.5951	-0.0	0.0
ligand_pose_286	-1.8499	-3.5781	5.3821	-0.5171	-0.0	0.0
ligand_pose_287	-1.5299	-3.6947	1.1294	-0.6265	-0.2845	0.0
ligand_pose_288	-1.5022	-3.6863	0.8185	-0.6436	-0.0	0.0
ligand_pose_289	-1.3548	-3.6805	1.7671	-0.627	-0.0	0.0
ligand_pose_290	-1.4155	-3.558	1.3774	-0.599	-0.4057	0.0
ligand_pose_291	-1.3646	-3.5573	1.4038	-0.6178	-0.0	0.0
ligand_pose_292	-1.8573	-3.824	6.4986	-0.6708	-0.0	0.0
ligand_pose_293	-1.6665	-3.7332	3.2989	-0.6542	-0.0	0.0
ligand_pose_294	-1.6666	-3.6204	5.2858	-0.5844	-0.0	0.0
ligand_pose_295	-1.5682	-3.6228	2.3612	-0.6379	-0.0	0.0
ligand_pose_296	-2.0073	-3.8016	6.479	-0.8011	-0.0059	0.0
ligand_pose_297	-1.5174	-4.0456	5.8034	-0.6772	-0.2695	0.0
ligand_pose_298	-1.4399	-3.9508	2.1804	-0.6942	-0.0	0.0
ligand_pose_299	-1.4785	-3.8725	1.4371	-0.6678	-0.0	0.0
ligand_pose_300	-1.5802	-3.7651	2.8778	-0.6056	-0.0	0.0
ligand_pose_301	-1.3479	-3.7822	0.9782	-0.6491	-0.0	0.0
ligand_pose_302	-1.2764	-3.6619	1.1848	-0.5966	-0.0	0.0
ligand_pose_303	-1.1754	-3.7939	3.0929	-0.5033	-0.0	0.0
ligand_pose_304	-2.1699	-4.0046	4.3602	-0.8161	-0.6283	0.0
ligand_pose_305	-1.9653	-3.8774	6.3066	-0.7623	-1.0478	0.0
ligand_pose_306	-1.8779	-3.7714	4.2281	-0.8074	-0.0	0.0
ligand_pose_307	-1.4647	-4.0349	5.5329	-0.6695	-0.2565	0.0
ligand_pose_308	-1.2948	-3.9372	1.8596	-0.6865	-0.0	0.0
ligand_pose_309	-1.286	-3.8486	0.9252	-0.6604	-0.0	0.0
ligand_pose_310	-1.4136	-3.6987	1.5802	-0.5998	-0.0	0.0
ligand_pose_311	-1.1567	-3.791	0.8469	-0.6425	-0.0	0.0
ligand_pose_312	-1.143	-3.6452	1.1522	-0.5891	-0.0	0.0
ligand_pose_313	-1.7488	-3.9791	1.164	-0.7895	-0.0	0.0
ligand_pose_314	-1.1512	-3.7008	3.7883	-0.4718	-0.0	0.0
ligand_pose_315	-1.1068	-3.742	3.9798	-0.5085	-0.0	0.0
ligand_pose_316	-1.4025	-3.734	3.506	-0.5212	-0.0	0.0
ligand_pose_317	-1.6399	-3.9815	1.1187	-0.7847	-0.0	0.0
ligand_pose_318	-1.6328	-3.9785	8.0077	-0.6474	-1.3566	0.0
ligand_pose_319	-1.3074	-3.7659	5.6741	-0.5085	-0.0	0.0
ligand_pose_320	-1.6317	-3.9663	1.1223	-0.7856	-0.0	0.0
ligand_pose_321	-1.4706	-4.0182	5.1591	-0.6695	-0.2565	0.0
ligand_pose_322	-1.2367	-3.9382	1.8838	-0.6865	-0.0	0.0
ligand_pose_323	-1.2331	-3.8644	1.0566	-0.6604	-0.0	0.0
ligand_pose_324	-1.3698	-3.7031	1.7672	-0.5998	-0.0	0.0
ligand_pose_325	-1.1186	-3.7798	0.8469	-0.6425	-0.0	0.0
ligand_pose_326	-1.0906	-3.6515	1.1521	-0.5891	-0.0	0.0
ligand_pose_327	-1.1333	-3.7443	2.1614	-0.5085	-0.0	0.0
ligand_pose_328	-1.3432	-3.7329	2.6346	-0.5208	-0.0	0.0
ligand_pose_329	-1.2291	-3.6866	2.569	-0.4718	-0.0	0.0
ligand_pose_330	-2.0165	-3.7421	2.8041	-0.7319	-1.1685	0.0
ligand_pose_331	-1.9836	-3.9077	6.2338	-0.7565	-0.039	0.0
