ligand_pose	Vdw
ligand_pose_517	264.4586
ligand_pose_518	3422.3705
ligand_pose_519	146610.8566
ligand_pose_520	3324636.7101
ligand_pose_521	8756327.6341
ligand_pose_522	1093342.1098
ligand_pose_523	19044.5606
ligand_pose_524	45783.8417
ligand_pose_525	-509.5627
ligand_pose_526	3116.1785
ligand_pose_527	89633.1579
ligand_pose_528	5204532.9619
ligand_pose_529	41050829.3894
ligand_pose_530	1875.5749
ligand_pose_531	10357.4362
ligand_pose_532	5844.3803
ligand_pose_533	-926.0307
ligand_pose_534	-871.8405
ligand_pose_535	1025.8427
ligand_pose_536	38526.3026
ligand_pose_537	470783.8801
ligand_pose_538	838.8163
ligand_pose_539	-730.4723
ligand_pose_540	-971.458
ligand_pose_541	47442049.2758
ligand_pose_542	45421437.7368
ligand_pose_543	15231.7558
ligand_pose_544	771364.2448
ligand_pose_545	25354098.8609
ligand_pose_546	7826173.532
ligand_pose_547	122573.9571
ligand_pose_548	74559.2846
ligand_pose_549	10685.2688
ligand_pose_550	421955.5882
ligand_pose_551	95183.0583
ligand_pose_552	51366.1901
ligand_pose_553	3701.4088
ligand_pose_554	5146.2975
ligand_pose_555	194790.8892
ligand_pose_556	2575109.3372
ligand_pose_557	49928.0847
ligand_pose_558	1046.7155
ligand_pose_559	95.4591
ligand_pose_560	-862.7089
ligand_pose_561	-591.9073
ligand_pose_562	2851.5658
ligand_pose_563	36805.0137
ligand_pose_564	773748.2356
ligand_pose_565	-869.0207
ligand_pose_566	-440.3129
ligand_pose_567	-907.8302
ligand_pose_568	16334.358
ligand_pose_569	9086.9999
ligand_pose_570	28191.661
ligand_pose_571	264952.8715
ligand_pose_572	14620.7153
ligand_pose_573	1223.5124
ligand_pose_574	14080.23
ligand_pose_575	11891.5138
ligand_pose_576	105.472
ligand_pose_577	-447.7257
ligand_pose_578	2342.4704
ligand_pose_579	65530.9435
ligand_pose_580	14940.2709
ligand_pose_581	720477.1748
ligand_pose_582	-727.08
ligand_pose_583	-824.9746
ligand_pose_584	-196.1875
ligand_pose_585	12625.5504
ligand_pose_586	691160.3475
ligand_pose_587	109620272.3791
ligand_pose_588	91266.1617
ligand_pose_589	-719.2024
ligand_pose_590	4116.7272
ligand_pose_591	-857.7162
ligand_pose_592	-340.6906
ligand_pose_593	5104.4447
ligand_pose_594	65188.5773
ligand_pose_595	2020324.8687
ligand_pose_596	-3.6444
ligand_pose_597	-23.019
ligand_pose_598	-824.3833
ligand_pose_599	376891.8179
ligand_pose_600	51567.4425
ligand_pose_601	7258.4419
ligand_pose_602	12639.892
ligand_pose_603	11050.4435
ligand_pose_604	148662.2204
ligand_pose_605	9157986.0268
ligand_pose_606	4377.3474
ligand_pose_607	1590.4433
ligand_pose_608	2202392.1251
ligand_pose_609	331006.4853
ligand_pose_610	2222.9166
